Gene_ID,adj.P.Val,P.Value,t,logFC,Gene.symbol
ILMN_1768394,0.005319372,2.26E-05,8.032983177,0.080451696,ARPC5
ILMN_1782863,0.005319372,2.27E-05,8.03004259,0.145179846,FAM83B
ILMN_1777479,0.005518278,2.36E-05,-7.988108562,-0.085784186,CDYL2
ILMN_1715476,0.005563614,2.40E-05,-7.972709908,-0.110525532,
ILMN_1815035,0.005563614,2.41E-05,7.970272498,0.109733156,DENND2C
ILMN_1690223,0.005582488,2.43E-05,-7.958855645,-0.082922141,CNTNAP2
ILMN_1754865,0.005582488,2.44E-05,7.957376898,0.084672607,PABPC4
ILMN_2343105,0.005613036,2.46E-05,7.947187979,0.062606158,LIPT1
ILMN_1728887,0.005703673,2.51E-05,7.926441423,0.095732527,PAK4
ILMN_2380243,0.005796453,2.57E-05,7.903341642,0.083642316,SMAGP
ILMN_2366654,0.005796453,2.58E-05,7.900230375,0.083226847,NR5A2
ILMN_1670130,0.005796453,2.59E-05,7.895427334,0.063218009,ARID3A
ILMN_1767068,0.005796453,2.61E-05,-7.889596553,-0.10659863,SMAD6
ILMN_1726842,0.005796453,2.61E-05,7.887306079,0.06810465,TYW3
ILMN_2357730,0.005803178,2.63E-05,-7.880905566,-0.068890004,CDK20
ILMN_1779353,0.005803178,2.65E-05,7.871920141,0.122249535,PUS7
ILMN_2111187,0.005803178,2.66E-05,-7.868415536,-0.082055517,ELOVL6
ILMN_1696699,0.005803178,2.67E-05,-7.865064875,-0.065232994,FAM184A
ILMN_1745282,0.005803178,2.68E-05,-7.863740428,-0.097657082,MOK
ILMN_1764362,0.005826531,2.70E-05,7.853792958,0.081651212,LYAR
ILMN_1731287,0.005826531,2.71E-05,-7.850933825,-0.073992142,ARFGAP3
ILMN_1784753,0.005965733,2.79E-05,7.823112661,0.093844231,PAIP2
ILMN_1797372,0.005976568,2.80E-05,7.816972708,0.126626501,C3orf58
ILMN_1724376,0.005983938,2.82E-05,-7.810630753,-0.073265612,ERLEC1
ILMN_1791232,0.005983938,2.83E-05,-7.807134249,-0.067780621,SPRED2
ILMN_1791147,0.00600842,2.86E-05,-7.798814876,-0.100062048,YPEL3
ILMN_2364022,0.006021865,2.88E-05,7.789859246,0.100399982,SLC16A3
ILMN_1663092,0.006021865,2.89E-05,-7.786299281,-0.14888265,CITED2
ILMN_1674038,0.006021865,2.90E-05,7.783898309,0.08492672,CTSD
ILMN_1659029,0.006087875,2.94E-05,-7.768939401,-0.08196144,DENND6B
ILMN_1672080,0.00625346,3.04E-05,7.738332803,0.096066103,NR2F6
ILMN_1783185,0.006263698,3.05E-05,7.732582976,0.107452751,SOX21
ILMN_2221564,0.006284299,3.08E-05,7.725234719,0.070604233,LYAR
ILMN_1849494,0.006336333,3.13E-05,-7.710075808,-0.078265567,EFR3B
ILMN_1730229,0.006336333,3.13E-05,-7.707817157,-0.090014382,CGNL1
ILMN_1756826,0.006336333,3.14E-05,7.704545349,0.148591247,
ILMN_1691436,0.006336333,3.15E-05,-7.700855069,-0.087865999,BLVRA
ILMN_1727055,0.00635105,3.18E-05,7.694558066,0.114322548,PARPBP
ILMN_1811373,0.0063565,3.19E-05,7.689712862,0.108539752,FAM20B
ILMN_1811933,0.006371401,3.21E-05,7.682607366,0.067595762,SHMT1
ILMN_1704353,0.006371401,3.22E-05,-7.679465969,-0.127686424,IGSF3
ILMN_1687978,0.00638684,3.25E-05,-7.673149071,-0.115057822,PHLDA1
ILMN_1720745,0.006483633,3.32E-05,7.651646004,0.071661057,
ILMN_1686562,0.006483633,3.32E-05,-7.650621471,-0.102846787,KIF13B
