Gene_ID,adj.P.Val,P.Value,t,logFC,Gene.symbol
217763_s_at,0.032965898,0.000145542,-7.861303223,-0.144522427,RAB31
204770_at,0.032965898,0.000145882,7.858238836,0.169468786,TAP2
213243_at,0.032965898,0.000145912,-7.857966464,-0.184925965,VPS13B
210896_s_at,0.03301548,0.000147353,7.845066905,0.13779209,ASPH
204298_s_at,0.03301548,0.000147821,7.840914908,0.307072254,LOX
1557289_s_at,0.03301548,0.000147943,-7.839827667,-0.271551712,GTF2IRD2
231923_at,0.033118203,0.00014961,-7.825155437,-0.159265268,TMEM150C
1558507_at,0.033118203,0.000151092,-7.812257419,-0.136699543,C1orf53
217762_s_at,0.033118203,0.000151171,-7.811572475,-0.149395838,RAB31
65630_at,0.033118203,0.000151633,-7.80758972,-0.137032622,TMEM80
1557014_a_at,0.033118203,0.000151903,-7.80526875,-0.223349254,FAM201A
