ID,LogConc,LogFC,P.val,adj.p.val
mir-3064,0.2269179153,4.1622368871,0.248290693,0.4688534914
mir-15a,0.0175439944,9.7263982091,0.2495807877,0.4700964711
mir-454,0.1170695824,8.5849671431,0.2532097184,0.4757273497
mir-1296,0.0235726778,5.373771772,0.2548824268,0.4775988007
mir-600,0.3539106407,2.1008786582,0.255489681,0.4775988007
mir-3928,-0.3290257771,3.4649909432,0.2571140568,0.4794307224
mir-3657,0.4312805242,1.9079775035,0.2602028402,0.4808420644
mir-7003,0.656085047,1.7931617088,0.2602437889,0.4808420644
mir-1910,0.2824058636,1.7950321835,0.2602437889,0.4808420644
mir-28c,-0.7311055403,1.9502886755,0.2604561182,0.4808420644
mir-411,-0.3041154074,3.528808334,0.2724089102,0.5000626704
mir-6857,-0.1945552833,3.4206974833,0.2724089102,0.5000626704
mir-4800,-1.155078349,1.6960864546,0.2728836615,0.5000626704
mir-3617,0.3134595185,2.4893602124,0.2743079537,0.5012416477
mir-6781,-0.7893012315,1.8231635226,0.274874452,0.5012416477
mir-6840,-0.3854927699,2.2780739393,0.2804051967,0.5090522605
mir-6764,-0.4990002729,2.1141010272,0.2805261113,0.5090522605
mir-370,-0.3136254308,4.3778126495,0.2829311734,0.5115753668
mir-4503,-0.121004158,3.4939273516,0.2832917354,0.5115753668
mir-4766,0.5157878868,1.8447512482,0.2866352222,0.5163598192
mir-3607,-0.7771095802,1.9798028603,0.2879720669,0.5175150188
mir-588,-0.3910190675,2.351662677,0.2940559784,0.5271750552
mir-1538,-0.2544344293,3.4855688787,0.2952101933,0.5279720765
mir-5009,0.4493589592,2.3478149587,0.2974209092,0.5293807571
mir-885,0.2257269483,2.3713891338,0.2974209092,0.5293807571
mir-758,-0.2515789245,4.5977872475,0.2982348542,0.529562605
mir-4690,-0.4731245415,2.7715205217,0.3047355098,0.5398171888
mir-4762,0.1476108122,2.5955255573,0.3061087054,0.5409617027
mir-491,-0.0956542424,4.5856329845,0.3097530128,0.5452393299
mir-1843b,-0.2301498036,4.1592834247,0.3099949416,0.5452393299
mir-5690,-0.1247666387,3.2645614518,0.3110093239,0.5457333419
mir-4664,0.4215089515,2.1999761224,0.31369396,0.547589726
mir-499a,0.3614574335,2.2073301386,0.31369396,0.547589726
mir-4758,-0.4468513392,2.6244360246,0.3142752863,0.547589726
mir-1225,0.360362986,1.8473751215,0.3158667465,0.5478815033
mir-487a,-0.3496747362,2.2245933404,0.3164809871,0.5478815033
mir-629,0.0326125525,8.7415988914,0.3174341489,0.5478815033
mir-184,-1.4888572355,1.8594699738,0.3181247438,0.5478815033
mir-4786,-1.0627744111,1.8925791559,0.3181247438,0.5478815033
mir-943,0.1624248254,2.8335981667,0.3194237226,0.5485396725
mir-6780b,-0.2293897162,2.3857004702,0.3199814756,0.5485396725
mir-6819,0.2516352353,2.7944565908,0.3230275496,0.5524884986
mir-1291,-0.3221694126,2.8303082333,0.327950347,0.5589266958
mir-597,0.2537320834,3.5891090836,0.3282943092,0.5589266958
mir-548s,0.774006003,1.9082665044,0.333488096,0.565091695
mir-205,0.6569706306,1.8972557383,0.333488096,0.565091695
mir-3677,0.2577476734,2.5103229445,0.3349105884,0.565091695
mir-3127,0.1876933688,3.7991471174,0.334953545,0.565091695
mir-450b,0.1581057975,2.8774257214,0.3360040355,0.5655814535
mir-1909,-1.155078349,1.7258681037,0.3370756007,0.5661043949
mir-6813,0.2973636713,3.0488290745,0.3392163362,0.5683545947
mir-3939,-0.040160599,2.709586891,0.3399432724,0.5683545947
mir-3196,0.107533904,2.8976978884,0.3441707329,0.5732476244
mir-548w,0.1658021347,2.722905577,0.3444108711,0.5732476244
mir-4763,0.2257269483,2.5439991304,0.3483242967,0.5766880245
let-7c,-0.2704647561,4.4185978974,0.3487726254,0.5766880245
mir-4796,0.4862719424,2.1004489477,0.3488032406,0.5766880245
mir-6889,0.4289247595,2.2945738835,0.3510242643,0.5790732875
mir-3191,-0.9686548517,1.9244597114,0.3523798792,0.580023518
mir-449c,-0.9609082545,1.9505210409,0.3563567608,0.5839855288
mir-301b,-0.9609082545,1.9196815976,0.3563567608,0.5839855288
mir-412,-0.6506636082,2.1318814576,0.3586313792,0.5864214201
mir-6766,0.1744718978,3.1195116417,0.3619831399,0.5885775165
mir-147,0.4961461063,2.1278289393,0.362079535,0.5885775165
mir-6883,-0.1345112311,3.1084490665,0.3623232561,0.5885775165
mir-7704,-0.154644337,2.7615800026,0.3738038421,0.6030877747
mir-7155,0.6578789654,1.9471907059,0.37408154,0.6030877747
mir-3122,0.303425737,1.9533639294,0.37408154,0.6030877747
mir-1228,-0.2523966802,2.5834621252,0.3744980536,0.6030877747
mir-4750,-0.5594985174,1.9684470921,0.3826061818,0.6148142532
mir-6845,0.318812073,2.1589590084,0.3842189325,0.6160751849
mir-380,0.6539065064,1.7824108689,0.3883013024,0.6212820839
mir-6516,-0.3419519138,3.3821470531,0.3943691679,0.6296366115
mir-141,-0.5600313049,2.1695591259,0.3964454978,0.6315962534
mir-371b,0.1444558256,3.1631146459,0.3977988551,0.63239818
mir-7108,0.1537253063,2.4627657873,0.405106362,0.6416746346
mir-3909,-0.0497972719,5.493626866,0.4066721575,0.6416746346
mir-933,0.1581057975,2.9638071489,0.4071834955,0.6416746346
mir-6800,0.0960468316,4.3626706679,0.4072990211,0.6416746346
mir-4511,-0.064345927,4.8397583035,0.408484097,0.6416746346
mir-6853,0.4961461063,1.9853645556,0.4096713057,0.6416746346
mir-548b,0.2027347338,2.0047847557,0.4096713057,0.6416746346
mir-3684,0.3258682728,1.8234025516,0.4115573707,0.6432745458
mir-548ax,-0.4928490437,2.5144733526,0.4126643738,0.6436526082
mir-145a,0.272462966,2.9151948788,0.4141567682,0.6446289446
mir-136,-0.5095489357,2.7587132122,0.4173806909,0.6478834411
mir-3140,-0.1136400915,4.3581558852,0.4179893169,0.6478834411
mir-3912,0.2104833032,2.785250236,0.4201637312,0.6498998253
mir-4775,-0.4180473105,2.5051730259,0.4219328545,0.6512822484
mir-4521,0.0393820217,4.781516827,0.4243334941,0.6536317176
mir-6799,-0.0549657996,4.3206595954,0.4263989966,0.6554563088
mir-6741,-0.0250185853,5.0482241206,0.4362899639,0.6686040536
mir-4757,0.1476108122,2.5645653057,0.4367494221,0.6686040536
mir-133b,-1.0974436781,1.8614746246,0.4400577047,0.6722852819
mir-3163,-0.1851690645,4.2796812902,0.4438653829,0.6767127969
mir-570,-0.1531647215,3.0592698716,0.4466993183,0.6784889602
mir-6852,-0.2862000387,2.800620756,0.4469187358,0.6784889602
mir-149,0.2156468109,3.1409616749,0.4477662358,0.6784889602
mir-6851,0.3779250419,2.3199583807,0.4493208162,0.6794607464
mir-6727,-0.2985386632,2.0775488423,0.4537425704,0.684755522
mir-410,-0.4023032703,2.6245563954,0.4598989121,0.6913679504
mir-873,-0.0600220913,2.6733616274,0.4599827089,0.6913679504
mir-6804,0.1774564453,3.1014323816,0.4625837781,0.6938756671
mir-6873,-0.1977323394,4.072051698,0.4649594597,0.6960358914
mir-1236,0.0061313006,2.9271006734,0.4695631293,0.7012569859
mir-1288,-0.5594985174,1.882289855,0.471003222,0.7012569859
mir-3155a,0.1796802072,2.4149099899,0.4712748561,0.7012569859
mir-3182,-0.4440561923,2.1199074354,0.4733755721,0.7029768975
mir-4637,-0.0316819859,1.9026643636,0.4789020048,0.7097671146
mir-548ay,-0.2101012574,5.4616649132,0.4844839515,0.714581704
mir-3192,0.1796802072,2.4563608,0.4850319362,0.714581704
mir-204,0.1149490827,2.4630174036,0.4850319362,0.714581704
mir-889,-0.5245753891,2.1880631562,0.4894605162,0.7196810752
mir-3153,0.7297759731,2.2049245656,0.4921944793,0.7222735555
mir-763,-1.0003628327,1.7177962335,0.4977271156,0.7268119414
mir-4733,-0.3852765697,1.703165684,0.4977271156,0.7268119414
mir-6729,-0.1807348802,2.4682743016,0.4990704857,0.7268119414
mir-4635,0.0359099165,3.0486826619,0.4991947608,0.7268119414
mir-6806,-0.019687096,2.7490764667,0.5044552698,0.7330365639
mir-2277,-0.2110546755,4.3968277393,0.5149893839,0.7468851883
mir-4657,0.4229512276,1.7289326952,0.5184862002,0.7504936439
mir-548p,-0.3153600522,2.6189612497,0.5261656075,0.7601305087
mir-4781,0.0204795861,5.2367923108,0.5292907774,0.7631634465
mir-4504,-0.698265464,2.2836934077,0.5320056717,0.7655942355
mir-211,0.0346478209,2.6644565287,0.5350665014,0.768512504
mir-544b,0.0093805496,3.2025662033,0.5380640246,0.7713287751
mir-3136,0.1196928139,2.6760932582,0.5439145526,0.7763376032
mir-548ad,-0.6731088369,2.2888926408,0.5442178106,0.7763376032
mir-5094,0.1084518591,4.2242221312,0.5446884796,0.7763376032
mir-6798,-0.0451760224,3.5094949647,0.5486576963,0.7788676422
mir-548az,-0.3755855465,1.7672300938,0.5506510481,0.7788676422
mir-6771,-0.3692058692,1.7590784939,0.5506510481,0.7788676422
mir-1246,-0.3646879547,1.7636229391,0.5506510481,0.7788676422
mir-6772,-0.3692058692,1.7794320437,0.5534733769,0.7813741791
mir-6782,0.2447902907,2.9668982705,0.5554515558,0.7826817378
mir-324,0.0414289431,9.469099289,0.5609060992,0.7888736065
mir-3157,-0.0460995007,4.6892468868,0.5629833747,0.7903011902
mir-1273g,0.1823036177,2.0627431135,0.5662458973,0.7911292129
mir-559,-0.1096460809,2.0953803095,0.5667879651,0.7911292129
mir-4446,-0.2286675755,2.4256542035,0.5677454115,0.7911292129
mir-6514,0.1553379151,4.5488015192,0.5678266125,0.7911292129
mir-5003,0.3936138062,2.0909232659,0.5743286559,0.7969254777
mir-6808,0.380650197,2.0854879656,0.5743286559,0.7969254777
mir-496,-0.1538658423,2.4548996688,0.5754084306,0.7969254777
mir-6836,0.3261103606,2.7570456257,0.5762713804,0.7969254777
mir-219b,0.2504781403,3.1237468716,0.5844217741,0.8066972169
mir-449a,-0.7597144212,1.8316469023,0.5883240663,0.8098916357
mir-8112,-0.0107356696,4.0052729374,0.5897272596,0.8098916357
mir-6893,-0.1440291663,2.4874187744,0.5926877397,0.8098916357
mir-6894,-0.0470835172,4.9304770423,0.5938325537,0.8098916357
mir-4660,0.0665873311,2.1513531217,0.5940541465,0.8098916357
mir-2467,0.4805837891,1.8505573723,0.595783796,0.8098916357
mir-4467,0.360362986,1.8276247218,0.595783796,0.8098916357
mir-34c,0.3258682728,1.8340765675,0.595783796,0.8098916357
mir-6726,0.0659568789,4.3033113192,0.5965330865,0.8098916357
mir-6895,-0.2150436859,2.1615081665,0.5976543282,0.8099359202
mir-378d,-0.2458820135,3.7954620937,0.6017379728,0.8127835215
mir-6868,0.1178532555,3.2046275711,0.6019404844,0.8127835215
mir-598,-0.0451760224,4.0721435282,0.6041880853,0.8143404628
mir-610,-0.1636503333,3.9864449138,0.6092136037,0.8170889521
mir-323b,-0.1160103701,4.8683041149,0.6107193128,0.8170889521
mir-3648,-0.1607668504,3.003028745,0.6116378619,0.8170889521
mir-497,-0.3523431241,2.2089846144,0.6118038188,0.8170889521
mir-7848,0.5395299515,1.8566064669,0.6161114276,0.8170889521
mir-3679,0.2329884757,1.8601408353,0.6161114276,0.8170889521
mir-3918,0.1861492808,1.8454958146,0.6161114276,0.8170889521
mir-3129,0.1861492808,1.8436918561,0.6161114276,0.8170889521
mir-4727,0.1159531033,1.8483763479,0.6161114276,0.8170889521
mir-4709,-0.4653789579,1.8846958903,0.6194514429,0.8171487119
mir-4795,-0.3646879547,1.8686739303,0.6194514429,0.8171487119
mir-4492,-0.2564385275,1.8633785728,0.6194514429,0.8171487119
mir-6783,-0.1728691561,3.6694976395,0.6260601796,0.8244049091
mir-451b,-0.171627034,4.4578213085,0.6272421802,0.8245020885
mir-1287,-0.1162068206,4.1187420821,0.6311344412,0.827056309
mir-1224,0.0132461683,3.4662077802,0.63140858,0.827056309
mir-431,-0.1401689987,3.1443163796,0.6400996222,0.8369668171
mir-4430,-0.1433613381,2.3357326793,0.6452183713,0.841301029
mir-3174,-0.5594985174,1.9286022258,0.6456759242,0.841301029
mir-4746,-0.0783004836,3.210818697,0.6513355814,0.8471917353
mir-188,-0.1036493559,3.5925906692,0.652801863,0.8476170786
mir-1237,0.3946429749,2.3504034215,0.6556456915,0.84794536
mir-374c,0.3946429749,2.3497542532,0.6556456915,0.84794536
mir-3177,-0.088340534,2.8003663773,0.6564738271,0.84794536
mir-4731,-0.3854927699,2.3895378728,0.662642194,0.853962457
mir-7b,-0.2672010324,2.0015670561,0.66352835,0.853962457
mir-3135a,-0.2027275802,3.3895175556,0.6645756218,0.853962457
mir-6871,0.4075617971,1.9862198439,0.6681497298,0.8570748258
mir-4473,0.0079097854,3.7319519408,0.6696267862,0.8574910997
mir-3165,0.1537253063,2.4582541214,0.6753150169,0.8602826272
mir-3139,-0.1235852708,2.4502139034,0.6753150169,0.8602826272
mir-4661,0.0917742598,2.4615692855,0.6753150169,0.8602826272
mir-3656,0.0381600369,4.9339476084,0.6764319045,0.8602826272
mir-4479,-0.3587139096,2.0272815886,0.6813267095,0.8650291329
mir-7706,0.0530113046,6.0135126064,0.6828324282,0.8654639294
mir-6509,-0.0226364708,3.3371287021,0.6847959785,0.8664765442
mir-6750,-0.0773086208,3.3412614396,0.687225836,0.8680747402
mir-1234,-0.1436231871,4.2778621931,0.6903214614,0.8705070632
mir-4449,-0.3831420555,2.5529327116,0.6916866193,0.8707526984
mir-6735,-0.1164130825,3.4179264572,0.6943696428,0.8726537403
mir-378i,-0.10914043,2.5492942283,0.697764494,0.8754414562
mir-4753,-0.1215128856,3.5784877544,0.7048157531,0.8795285892
mir-6738,0.1806227254,2.069652694,0.7048877441,0.8795285892
mir-193a,-0.0019994838,5.8905604495,0.7056796233,0.8795285892
mir-548at,-0.1605217132,4.7816818966,0.7057507631,0.8795285892
mir-6817,-0.176360536,2.5955617031,0.7091154784,0.8803904301
mir-3619,-0.0804769145,2.5987595235,0.7091154784,0.8803904301
mir-5126,-0.1211717212,3.1123044856,0.7099922824,0.8803904301
mir-4484,0.3505439181,2.1085725024,0.7118498765,0.8812251383
mir-639,-0.6300147546,1.6752808573,0.7168924659,0.8838698407
mir-1178,-0.3852765697,1.6899629982,0.7168924659,0.8838698407
mir-187,-1.0003628327,1.7055007666,0.7184227769,0.8838698407
mir-3150b,-0.1698755792,3.2619708662,0.7187382441,0.8838698407
mir-664b,-0.1062715868,6.3960104804,0.7245061555,0.8882313014
mir-4785,-0.0534423961,2.699089476,0.7246725806,0.8882313014
mir-6501,0.1150035009,3.7040878853,0.7347404907,0.8990903374
mir-6752,0.322478798,2.1824200365,0.7371005689,0.8994450969
mir-4505,-0.1882512089,1.7140717626,0.737448265,0.8994450969
mir-6505,0.0116454849,3.8013353248,0.7436361668,0.9055078693
mir-3143,-0.1874394285,4.4467605641,0.7491246956,0.9107006103
mir-3168,0.8281202116,1.7509655119,0.7573937584,0.9192511521
mir-4639,-0.0685596048,2.30557468,0.760661126,0.921713156
mir-935,-0.1776321377,2.4173289862,0.768654063,0.9298839396
mir-641,-0.1914451138,5.4868565444,0.7737720896,0.9345559005
mir-4665,-0.5153045385,1.8140399635,0.7774544059,0.9374814879
mir-203a,0.0188520308,2.4322177582,0.7795478617,0.9384848043
mir-6797,0.3196593098,2.4290414333,0.7815111364,0.9393160906
mir-539,0.500081978,1.8036355534,0.7848057619,0.9393160906
mir-671,0.0426506582,5.5765669307,0.7858125151,0.9393160906
mir-1304,-0.0442189127,6.6222863179,0.7865438765,0.9393160906
mir-3661,-0.0694363889,2.4889339545,0.7875978403,0.9393160906
mir-548k,-0.0885189416,4.2824389718,0.7887554278,0.9393160906
mir-375,0.230076872,2.5021468895,0.7903385386,0.9393160906
mir-3934,-0.0074853424,2.5424441379,0.7903385386,0.9393160906
mir-5006,0.1493194768,3.1919619994,0.7924446459,0.9403170918
mir-548ah,-0.2418313589,1.8393148851,0.7964378829,0.9433520424
mir-6763,-0.1871068866,1.8392130604,0.7975382187,0.9433520424
mir-4754,-0.058260602,1.8584403249,0.8054974042,0.9512540773
mir-6858,-0.2819991542,1.8990006148,0.8107542311,0.9559447669
mir-429,0.4116751642,1.9167426669,0.8137378355,0.9579445406
mir-107,-0.0235806353,4.818218904,0.8216268463,0.9644655812
mir-3166,-0.2564385275,1.9427113898,0.8218698635,0.9644655812
mir-6730,0.2516352353,2.7631204449,0.8255335268,0.9646019825
mir-4747,-0.1363701068,3.7107787429,0.8259685267,0.9646019825
mir-6758,0.1863770155,2.7866068937,0.8271161551,0.9646019825
mir-6125,0.1035934724,1.9635918206,0.8271721302,0.9646019825
mir-1273e,0.2088799839,2.8845427851,0.8300379167,0.9657776352
mir-3128,-0.2392121789,2.8933407383,0.8316991752,0.9657776352
mir-6769b,-0.2360920529,2.0012846714,0.833784504,0.9657776352
mir-181d,-0.2254907,3.7594643312,0.8356214118,0.9657776352
mir-3922,-0.0486655263,3.8769839496,0.8360650439,0.9657776352
mir-1303,-0.0451350992,5.1282383495,0.8367288596,0.9657776352
mir-3074,-0.0117527304,4.5167396522,0.8372669015,0.9657776352
mir-2116,-0.356636309,2.0508961027,0.8431955938,0.9681134595
mir-6832,0.1943222438,2.0458718881,0.8431955938,0.9681134595
mir-4999,0.0402095098,2.0233637741,0.8431955938,0.9681134595
mir-467f,-0.0279930003,4.2077053661,0.8476513605,0.971063442
mir-6886,0.1375523644,2.0546122606,0.8483753189,0.971063442
mir-4470,-0.1096460809,2.0787095246,0.8515448424,0.9718393262
mir-5695,-0.0617128135,6.3092819882,0.8516656461,0.9718393262
mir-655,-0.174253929,2.1066910964,0.854888427,0.9727673178
mir-6885,0.0670669336,4.6872085842,0.8560414434,0.9727673178
mir-3535,-0.061961489,4.7238962484,0.8567857074,0.9727673178
mir-422a,-0.2873041821,2.1564454684,0.8590163008,0.9727673178
mir-3190,-0.0656578821,2.1509462182,0.8590163008,0.9727673178
mir-545,-0.0656578821,2.1675199483,0.8604818278,0.9729460181
mir-4668,0.318812073,2.1733359177,0.862024412,0.9732111723
mir-134,-0.3141468071,3.2864541477,0.8636660797,0.9735872171
mir-1343,-0.001190558,4.309929519,0.8666387035,0.9754602049
mir-6812,-0.0250733416,3.3224064431,0.8705171121,0.9783455158
mir-483,-0.0158784921,3.4667224876,0.8724396697,0.9790273217
mir-219c,-0.2068761454,2.2614271369,0.8741249978,0.9794412626
mir-99a,0.0784617742,11.2452069685,0.875456983,0.9794586396
mir-1273d,-0.261090427,2.3512251461,0.8780783151,0.980916316
mir-940,-0.0526921938,2.3382874593,0.8797827189,0.9811673976
mir-766,-0.0472957459,6.8132872924,0.8821696436,0.9811673976
mir-4728,-0.1790272072,3.7291466878,0.8822593938,0.9811673976
mir-1238,-0.1632945148,2.4839163823,0.8922897318,0.9907919308
mir-6793,0.0350772167,5.4452183725,0.8935771311,0.9907919308
mir-2276,0.0567294419,2.5973109903,0.9000277215,0.9964592631
mir-4512,-0.0930788898,2.7350271251,0.9047252494,1
mir-551a,0.0493370151,2.7713712761,0.9107591649,1
mir-548n,0.1145798775,2.8985095265,0.9170013729,1
mir-4738,-0.1720240249,3.1954846854,0.9263234098,1
mir-369,-0.0247106188,3.2256923036,0.930585068,1
mir-1292,-0.1009021367,5.0857960074,0.9336593143,1
mir-6503,0.0273182784,3.4834454984,0.9396104354,1
mir-10b,0.020867196,5.2560556356,0.9407528131,1
mir-4672,0.0691151404,3.6136882595,0.9408545749,1
mir-2355,-0.0308913844,3.8585088332,0.9479245031,1
mir-323a,-0.0416637431,4.069156046,0.9523293281,1
mir-607,0.0068071083,4.4158370197,0.9566767736,1
mir-1227,-0.0028740359,4.9407737901,0.9667351082,1
mir-1226,-0.0021741944,6.4629004852,0.9811839732,1
mir-1976,0.0182158658,6.9131714247,0.9880874597,1
mir-6807,0.0688762132,2.1381674396,1,1
mir-6866,0.0537572858,2.3136039425,1,1
mir-378f,0.4557285809,1.7339822062,1,1
mir-4526,-0.2360920529,2.1353895228,1,1
mir-4642,-0.2208700301,1.7533383119,1,1
mir-548am,-0.0475473128,1.7269697421,1,1
mir-346,-0.5944906689,1.8817738081,1,1
mir-378b,-0.2921226439,3.0268428315,1,1
mir-4683,0.2824058636,1.7569976621,1,1
mir-6809,0.2655570732,1.8983959377,1,1
mir-3687,-0.2564385275,1.8506494567,1,1
mir-6733,-0.2360920529,2.0011425829,1,1
mir-4667,-0.1507500861,2.7696934488,1,1
mir-4423,-0.0929873272,1.8669667507,1,1
mir-21a,-0.0929873272,1.8895300857,1,1
mir-542,0.0734189845,2.8009197475,1,1
mir-6754,0.0599829231,2.5983775562,1,1
mir-5004,-0.0120286447,1.7647206511,1,1
mir-4787,0.007703676,1.8774305164,1,1
mir-300,-0.6300147546,1.6508710868,1,1
mir-3188,-0.5594985174,1.8967550339,1,1
mir-665,-0.5153045385,1.76703714,1,1
mir-8072,-0.5153045385,1.8440086707,1,1
mir-1908,-0.4468513392,2.651078144,1,1
mir-3194,-0.4276013423,2.0784699568,1,1
mir-4748,-0.4017611911,1.6452798482,1,1
mir-6742,-0.3852765697,1.706371916,1,1
let-7k,-0.3756900487,2.4681620057,1,1
mir-4638,-0.344313212,3.0407034509,1,1
mir-6790,0.2908996645,1.9784982909,1,1
mir-6739,-0.2873041821,1.9744550165,1,1
mir-378g,-0.2819991542,2.1092129929,1,1
mir-3611,-0.2564385275,1.8096716067,1,1
mir-659,-0.2419956831,2.7621001145,1,1
mir-581,0.2364699616,1.9739152509,1,1
mir-3942,0.2329884757,1.8598431699,1,1
mir-2115,0.2088799839,2.7752597163,1,1
mir-3970,-0.2084850181,2.6382962449,1,1
mir-7113,-0.2019400014,2.3394505493,1,1
mir-4797,-0.189983021,3.2824354516,1,1
mir-499b,0.149478048,1.6910979075,1,1
mir-1256,0.1407883506,2.3627280066,1,1
mir-548aq,0.1170395992,2.8913614689,1,1
mir-6238,0.1159531033,1.8034370806,1,1
mir-3187,-0.1130690876,3.5530162812,1,1
mir-6762,0.1046040815,2.3995443841,1,1
mir-6855,0.0959249772,3.4328404948,1,1
mir-4678,-0.0955220267,2.5529708443,1,1
mir-190b,-0.0626803392,3.3733384802,1,1
mir-1273a,0.0518235923,3.2553963147,1,1
mir-6787,-0.0420087158,1.9359965795,1,1
mir-2861,0.0400023546,1.6598289363,1,1
mir-4720,0.0400023546,1.6614199816,1,1
mir-4497,0.0353329396,2.0290075537,1,1
mir-6748,-0.0213826828,2.5791718738,1,1
mir-891a,-0.0120286447,1.7996491609,1,1
mir-3685,-0.005127179,2.3174221903,1,1
