ID,LogConc,LogFC,P.val,adj.p.val
mir-619,2.1560746013,2.7507402066,6.0312999838988E-12,5.0418957168772E-11
mir-4306,0.5063463263,6.2782926131,6.42064194914302E-12,5.30773067795823E-11
mir-1180,-0.2097577907,8.0802036504,7.12501418884359E-12,5.82528632582377E-11
mir-409,-0.3965629809,7.6545783759,9.78828162211703E-12,7.91574079005986E-11
mir-98,0.4320485187,7.1124233854,1.02652993568934E-11,8.21223948551476E-11
mir-146b,-0.196750001,8.901230851,1.27449166547446E-11,1.00874659480107E-10
mir-1839,-0.2951910984,8.1265984656,2.1344983853792E-11,1.67164926181276E-10
mir-424,-0.412291357,6.7302392294,1.95556382324996E-10,1.51556196301872E-09
mir-4732,0.1336673008,10.3413156925,2.02865510682527E-10,1.55599938090515E-09
mir-6747,0.5552444786,5.579331374,2.38324807506335E-10,1.80932302841544E-09
mir-4804,0.575237328,5.5914722816,3.29977816409948E-10,2.47983328695961E-09
mir-30a,-0.9528927817,5.422513369,0.000000001,7.51271306162942E-09
mir-942,0.1914899897,9.5203265981,1.17037568518154E-09,8.62138128490164E-09
mir-1260b,0.279080874,8.3998001047,1.59317159578174E-09,1.16207810515844E-08
mir-4508,-0.3474969933,6.5981740493,0.000000002,1.41279262327641E-08
mir-6820,-0.8488749485,4.1676483379,0.000000002,1.44005147923422E-08
mir-374b,-0.0559942463,9.3255094666,2.0766362639552E-09,1.47144512417397E-08
mir-374a,-0.3510382836,6.4566690038,3.82418516929354E-09,2.68414506222113E-08
mir-4485,1.1981329698,3.9617775659,1.03978526112558E-08,7.22990873156477E-08
mir-10a,-0.0358371921,9.8005474397,1.62406050606032E-08,1.11879723750822E-07
mir-485,-0.5323409382,5.6486538268,2.61706897815462E-08,1.78632965114407E-07
mir-190a,-0.4500841119,5.8298182627,3.25170764234705E-08,2.197649312929E-07
mir-466i,1.4266169838,2.9037641874,3.27875099106342E-08,2.197649312929E-07
mir-4443,-0.4370526813,5.0443822934,3.32187715486892E-08,2.20667553859149E-07
mir-4433b,-0.2539661624,8.0690319743,3.95029057428232E-08,2.60089928076641E-07
mir-3653,-0.8352725868,4.3539558992,0.00000004,2.61323244765988E-07
let-7g,-0.0220847814,12.8761113263,4.37071120739826E-08,2.82766012026461E-07
mir-6833,-0.3863529324,5.6907464816,6.12169515818215E-08,3.92632861869614E-07
mir-221,-0.0876615336,9.944092415,7.72083591544954E-08,0.000000491
mir-122,-2.5211019926,2.5894008567,8.05117502984131E-08,5.07633408661181E-07
mir-197,-0.0333731047,10.8157079071,2.90084501605786E-07,1.81363755625803E-06
mir-378a,-0.1283703405,9.3465884232,7.5346210768014E-07,4.67146506761687E-06
mir-421,-0.3684368895,6.6163386501,1.01573521180896E-06,6.24551237674269E-06
mir-215,-1.1157151726,4.5653223327,0.000001246,7.59862046048283E-06
mir-503,-0.2161329551,7.1859537412,1.473831117621E-06,8.91488090658556E-06
mir-618,0.3103623639,6.5411537527,1.5805860159879E-06,9.4835160959274E-06
