Gene_ID,adj.P.Val,P.Value,t,logFC,Gene_symbol
ILMN_1708006,0.035930245,0.000100681,-7.97381138,-0.096765695,MICB
ILMN_1659913,0.035930245,0.000101724,-7.96076822,-0.139920052,ISG20
ILMN_1801443,0.035930245,0.000101911,7.958447086,0.142608574,TSKU
ILMN_1693233,0.035930245,0.000101926,-7.958261001,-0.112163377,KIAA0513
ILMN_1742109,0.035930245,0.000102941,7.945739847,0.061760091,DNAJC19
ILMN_1720124,0.035930245,0.000103043,7.944484078,0.064308937,RCC2
ILMN_1739605,0.035930245,0.000103072,-7.944128991,-0.073217437,LYPD3
ILMN_1759330,0.036327234,0.000104955,-7.921300627,-0.136247728,KIF1A
ILMN_1688621,0.036335007,0.000105722,7.912135646,0.119854055,INIP
ILMN_2343047,0.036898773,0.000108289,-7.88200854,-0.154350597,ABCB9
ILMN_1657977,0.036898773,0.000108875,-7.875239158,-0.089531538,MSRB2
ILMN_2180239,0.037157334,0.000110399,-7.857830076,-0.137073656,DOPEY2
ILMN_2411731,0.038832141,0.000116171,7.794290623,0.134848753,HPS5
ILMN_1812759,0.039185048,0.00011803,7.77458586,0.088241854,GCH1
ILMN_1789909,0.040305181,0.00012223,7.731324657,0.074005626,TBC1D9B
ILMN_1750158,0.040381093,0.000123287,-7.720694854,-0.079174399,ACOX1
ILMN_1695034,0.040680245,0.000125034,7.703361481,0.090681732,
ILMN_1661664,0.040738273,0.000126927,7.684887381,0.066740769,
ILMN_1811373,0.040738273,0.000127594,7.678446172,0.12519216,FAM20B
ILMN_2146372,0.040738273,0.000128734,7.667540029,0.059972239,KCTD6
ILMN_2188264,0.040738273,0.00012885,7.666432617,0.162206431,CYR61
ILMN_1762990,0.040738273,0.000130306,7.652665221,0.057867827,KIAA0141
ILMN_1766411,0.040738273,0.000131404,7.64239546,0.169623843,AP1S2
ILMN_1664761,0.040738273,0.000131604,7.640539395,0.088783422,TMEM138
ILMN_1725678,0.040738273,0.000133166,7.62612168,0.127629488,GFRA1
ILMN_1783185,0.040738273,0.000133318,7.624733126,0.111532325,SOX21
ILMN_2080611,0.040738273,0.00013356,7.622520027,0.108442667,PDSS1
ILMN_1808391,0.040895076,0.000135193,-7.607699455,-0.188046802,DUSP4
